service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
283.0.1,1,1,1,1,1,0,0,20260112,20260424
283.0.2,0,0,0,0,0,1,0,20260117,20260425
283.0.3,0,0,0,0,0,0,1,20260118,20260426
283.100.1,1,1,0,1,0,0,0,20260112,20260423
283.102.1,1,0,1,0,1,0,0,20260112,20260424
283.103.1,0,1,0,1,0,0,0,20260113,20260423
283.108.1,0,1,0,1,0,0,0,20260113,20260423
283.109.1,1,0,1,0,1,0,0,20260112,20260424
283.120.1,0,0,1,0,0,0,0,20260114,20260422
283.121.1,0,0,1,0,1,0,0,20260114,20260424
283.122.1,1,1,0,1,0,0,0,20260112,20260423
283.131.1,1,1,1,1,1,0,0,20260112,20260424
283.1487.2,0,0,0,0,0,1,0,20260418,20260425
283.1487.3,0,0,0,0,0,0,1,20260419,20260426
283.150.1,1,1,1,1,1,0,0,20260112,20260424
283.151.1,0,1,0,1,0,0,0,20260113,20260423
283.152.1,0,0,1,0,1,0,0,20260114,20260424
283.1545.1,1,1,0,1,0,0,0,20260112,20260423
283.155.1,0,0,1,0,1,0,0,20260114,20260424
283.1566.1,1,1,1,1,1,0,0,20260112,20260424
283.1567.1,1,1,1,1,0,0,0,20260126,20260423
283.157.1,0,0,1,0,1,0,0,20260114,20260424
283.159.1,1,1,1,1,1,0,0,20260112,20260424
283.161.1,0,0,1,0,1,0,0,20260114,20260424
283.171.1,1,1,1,1,1,0,0,20260112,20260424
283.173.1,1,1,0,1,0,0,0,20260112,20260423
283.176.1,1,0,0,0,0,0,0,20260112,20260420
283.177.1,0,1,1,1,1,0,0,20260113,20260424
283.1779.2,0,0,0,0,0,1,0,20260117,20260411
283.1779.3,0,0,0,0,0,0,1,20260118,20260412
283.178.1,1,1,1,1,1,0,0,20260112,20260424
283.180.1,0,0,1,0,1,0,0,20260114,20260424
283.181.1,1,1,0,1,0,0,0,20260112,20260423
283.182.1,1,1,0,1,0,0,0,20260112,20260423
283.1827.1,1,1,0,0,1,0,0,20260112,20260424
283.1828.1,0,0,0,1,0,0,0,20260115,20260423
283.191.1,1,1,0,1,0,0,0,20260112,20260423
283.1919.1,1,1,1,1,1,0,0,20260112,20260424
283.1921.1,0,0,1,0,1,0,0,20260114,20260424
283.1923.1,1,0,0,0,0,0,0,20260119,20260420
283.193.1,0,0,1,0,1,0,0,20260114,20260424
283.2068.1,1,1,1,1,1,0,0,20260112,20260424
283.2069.1,1,1,1,1,1,0,0,20260112,20260424
283.2070.1,1,1,0,1,0,0,0,20260112,20260423
283.2071.1,1,0,0,0,0,0,0,20260112,20260420
283.2075.1,1,1,1,1,1,0,0,20260112,20260424
283.2082.1,1,1,1,1,1,0,0,20260112,20260424
283.2093.1,0,1,1,1,1,0,0,20260113,20260424
283.2152.1,0,0,1,0,1,0,0,20260114,20260424
283.2153.1,1,1,0,1,0,0,0,20260112,20260423
283.2348.1,1,1,1,1,1,0,0,20260112,20260424
283.2349.1,1,1,1,1,1,0,0,20260112,20260424
283.2491.1,0,0,0,1,0,0,0,20260115,20260423
283.2561.1,0,0,1,0,0,0,0,20260114,20260422
283.2657.1,1,1,1,1,1,0,0,20260112,20260130
283.327.1,1,1,1,1,1,0,0,20260112,20260424
283.3284.3,0,0,0,0,0,0,1,20260208,20260208
283.41.1,1,1,1,1,0,0,0,20260112,20260423
283.42.1,0,0,0,0,1,0,0,20260116,20260424
283.57.1,0,1,0,1,0,0,0,20260113,20260423
283.58.1,1,0,1,0,1,0,0,20260112,20260424
283.59.1,0,0,1,0,1,0,0,20260114,20260424
283.62.1,0,0,1,0,1,0,0,20260114,20260424
283.64.1,1,1,1,1,1,0,0,20260112,20260424
283.66.1,0,0,1,0,0,0,0,20260114,20260422
283.67.1,1,1,0,1,1,0,0,20260112,20260424
283.745.1,1,0,0,0,0,0,0,20260112,20260420
283.746.1,1,0,0,0,0,0,0,20260112,20260420
283.76.1,1,1,0,1,1,0,0,20260112,20260424
283.79.1,0,1,0,1,0,0,0,20260113,20260423
283.80.1,1,1,0,1,0,0,0,20260112,20260423
283.87.1,0,0,1,0,1,0,0,20260114,20260424
283.88.1,1,1,0,1,0,0,0,20260112,20260423
283.89.1,1,1,0,1,0,0,0,20260112,20260423
283.897.1,0,0,1,0,1,0,0,20260114,20260424
283.901.1,1,0,1,0,1,0,0,20260112,20260424
283.96.1,0,1,0,1,0,0,0,20260113,20260423
283.98.1,0,0,1,0,1,0,0,20260114,20260424
