route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Blue,283.0.1,3938392,BAYPOINTE,0,9009,122281,1,1
Blue,283.0.1,3938393,BAYPOINTE,0,9002,122281,1,1
Blue,283.1779.2,3938530,BAYPOINTE,0,9002,122281,1,1
Blue,283.1779.3,3938632,BAYPOINTE,0,9002,122281,1,1
Blue,283.1487.2,3974274,ALUM ROCK,0,977006,122274,1,1
Blue,283.1487.3,3974933,ALUM ROCK,0,977032,122274,1,1
Blue,283.0.1,3938394,BAYPOINTE,0,9003,122281,1,1
Blue,283.0.1,3938395,BAYPOINTE,0,9004,122281,1,1
Blue,283.1779.2,3938531,BAYPOINTE,0,9003,122281,1,1
Blue,283.1779.3,3938633,BAYPOINTE,0,9003,122281,1,1
Blue,283.1487.2,3974276,ALUM ROCK,0,977007,122274,1,1
Blue,283.1487.3,3974934,ALUM ROCK,0,977033,122274,1,1
Blue,283.0.1,3938396,BAYPOINTE,0,9005,122281,1,1
Blue,283.0.1,3938397,BAYPOINTE,0,9006,122281,1,1
Blue,283.1779.2,3938532,BAYPOINTE,0,9004,122281,1,1
Blue,283.1779.3,3938634,BAYPOINTE,0,9004,122281,1,1
Blue,283.1487.2,3974278,ALUM ROCK,0,977008,122274,1,1
Blue,283.1487.3,3974939,ALUM ROCK,0,977034,122274,1,1
Blue,283.0.1,3938398,BAYPOINTE,0,9007,122281,1,1
Blue,283.1779.2,3938533,BAYPOINTE,0,9005,122281,1,1
Blue,283.1779.3,3938635,BAYPOINTE,0,9005,122281,1,1
Blue,283.1487.2,3974280,ALUM ROCK,0,977009,122274,1,1
Blue,283.1487.3,3974942,ALUM ROCK,0,977035,122274,1,1
Blue,283.0.1,3938399,BAYPOINTE,0,9008,122281,1,1
Blue,283.0.1,3938400,BAYPOINTE,0,9009,122281,1,1
Blue,283.1779.2,3938534,BAYPOINTE,0,9006,122281,1,1
Blue,283.1779.3,3938636,BAYPOINTE,0,9006,122281,1,1
Blue,283.1487.2,3974282,ALUM ROCK,0,977010,122274,1,1
Blue,283.1487.3,3974945,ALUM ROCK,0,977036,122274,1,1
Blue,283.0.1,3938401,BAYPOINTE,0,9001,122281,1,1
Blue,283.1779.2,3938535,BAYPOINTE,0,9001,122281,1,1
Blue,283.1779.3,3938637,BAYPOINTE,0,9001,122281,1,1
Blue,283.1487.2,3974284,ALUM ROCK,0,977011,122274,1,1
Blue,283.1487.3,3974948,ALUM ROCK,0,977037,122274,1,1
Blue,283.0.1,3938402,BAYPOINTE,0,9002,122281,1,1
Blue,283.1779.2,3938536,BAYPOINTE,0,9002,122281,1,1
Blue,283.1779.3,3938638,BAYPOINTE,0,9002,122281,1,1
Blue,283.1487.2,3974286,ALUM ROCK,0,977012,122274,1,1
Blue,283.1487.3,3974949,ALUM ROCK,0,977038,122274,1,1
Blue,283.0.1,3938403,BAYPOINTE,0,9003,122281,1,1
Blue,283.0.1,3938404,BAYPOINTE,0,9004,122281,1,1
Blue,283.1779.2,3938537,BAYPOINTE,0,9003,122281,1,1
Blue,283.1779.3,3938639,BAYPOINTE,0,9003,122281,1,1
Blue,283.1487.2,3974288,ALUM ROCK,0,977013,122274,1,1
Blue,283.1487.3,3974952,ALUM ROCK,0,977039,122274,1,1
Blue,283.0.1,3938405,BAYPOINTE,0,9005,122281,1,1
Blue,283.1779.2,3938538,BAYPOINTE,0,9004,122281,1,1
Blue,283.1779.3,3938640,BAYPOINTE,0,9004,122281,1,1
Blue,283.1487.2,3974290,ALUM ROCK,0,977014,122274,1,1
