stop_id,stop_name,main_cross_street,stop_lat,stop_lon,district_hits,in_geofence,saturday_alightings_monthly,sunday_alightings_monthly,weekday_alightings_monthly,saturday_boardings_monthly,sunday_boardings_monthly,weekday_boardings_monthly,saturday_trips_observed_monthly,sunday_trips_observed_monthly,weekday_trips_observed_monthly,weekday_boardings,weekday_alightings,saturday_boardings,saturday_alightings,sunday_boardings,sunday_alightings,annual_boardings,annual_alightings
5396,Winchester Station (Bay 2),WINCHESTER STATION,37.279378,-121.948538,,False,269,251,2348,270,251,2436,38,26,62,105.91,102.09,67.5,67.25,62.75,62.75,33780,32793
1141,Blossom Hill & Snell,BLOSSOM HILL + SNELL,37.251461,-121.829865,,False,29,29,284,82,81,1039,19,13,32,45.17,12.35,20.5,7.25,20.25,7.25,13637,3903
3304,Santa Teresa Station,SANTA TERESA LIGHT RAIL STATION,37.236285,-121.789479,,False,107,93,877,82,90,805,38,26,63,35.0,38.13,20.5,26.75,22.5,23.25,11161,12323
1135,Poughkeepsie & Cottle,POUGHKEEPSIE + COTTLE,37.251595,-121.80523,,False,5,5,30,84,51,681,19,13,32,29.61,1.3,21.0,1.25,12.75,1.25,9306,462
1106,Blossom Hill & Hillview,BLOSSOM HILL + HILLVIEW,37.250256,-121.862691,,False,25,25,200,45,60,604,19,13,31,26.26,8.7,11.25,6.25,15.0,6.25,8061,2868
1143,Blossom Hill Station,BLOSSOM HILL STATION,37.252223,-121.841152,,False,31,22,367,54,34,596,19,13,32,25.91,15.96,13.5,7.75,8.5,5.5,7751,4759
1102,Blossom Hill & Plaza,BLOSSOM HILL + PLAZA,37.250513,-121.876818,,False,39,34,332,62,66,575,19,13,31,25.0,14.43,15.5,9.75,16.5,8.5,8039,4629
1138,Blossom Hill & Lean,BLOSSOM HILL + LEAN,37.251617,-121.816974,,False,3,2,89,55,47,565,19,13,32,24.57,3.87,13.75,0.75,11.75,0.5,7591,1052
1745,Good Samaritan Hospital,SAMARITAN + GOOD SAMARITAN HOSP,37.251009,-121.947555,D6,True,24,14,208,26,21,403,19,13,31,17.52,9.04,6.5,6.0,5.25,3.5,5079,2799
1107,Blossom Hill & Santa Teresa,BLOSSOM HILL + SANTA TERESA,37.250202,-121.858057,,False,12,26,242,38,38,333,19,13,31,14.48,10.52,9.5,3.0,9.5,6.5,4680,3177
1153,Blossom Hill & Almaden Plaza,BLOSSOM HILL + ALMADEN (ALMADEN PLAZA),37.250826,-121.877094,,False,56,46,572,45,27,323,19,13,32,14.04,24.87,11.25,14.0,6.75,11.5,4516,7668
1101,Blossom Hill & Ayrshire,BLOSSOM HILL + AYRSHIRE,37.248068,-121.882769,,False,14,6,52,10,9,298,19,13,31,12.96,2.26,2.5,3.5,2.25,1.5,3552,836
1110,Blossom Hill Station,BLOSSOM HILL STATION,37.252393,-121.841442,,False,59,45,562,28,15,294,19,13,31,12.78,24.43,7.0,14.75,3.75,11.25,3818,7582
1093,Blossom Hill & Camden,BLOSSOM HILL + CAMDEN,37.236319,-121.90276,,False,7,8,116,25,20,277,19,13,31,12.04,5.04,6.25,1.75,5.0,2.0,3655,1480
2791,Santa Cruz & Main,SANTA CRUZ + MAIN,37.222231,-121.983921,D1,True,0,0,211,0,0,276,0,0,32,12.0,9.17,0.0,0.0,0.0,0.0,3060,2338
1097,Blossom Hill & Meridian,BLOSSOM HILL + MERIDIAN,37.243466,-121.889251,,False,20,12,209,25,13,266,19,13,31,11.57,9.09,6.25,5.0,3.25,3.0,3444,2734
