stop_id,stop_name,main_cross_street,stop_lat,stop_lon,district_hits,in_geofence,saturday_alightings_monthly,sunday_alightings_monthly,weekday_alightings_monthly,saturday_boardings_monthly,sunday_boardings_monthly,weekday_boardings_monthly,saturday_trips_observed_monthly,sunday_trips_observed_monthly,weekday_trips_observed_monthly,weekday_boardings,weekday_alightings,saturday_boardings,saturday_alightings,sunday_boardings,sunday_alightings,annual_boardings,annual_alightings
1745,Good Samaritan Hospital,SAMARITAN + GOOD SAMARITAN HOSP,37.251009,-121.947555,D6,True,24,14,208,26,21,403,19,13,31,17.52,9.04,6.5,6.0,5.25,3.5,5079,2799
2791,Santa Cruz & Main,SANTA CRUZ + MAIN,37.222231,-121.983921,D1,True,0,0,211,0,0,276,0,0,32,12.0,9.17,0.0,0.0,0.0,0.0,3060,2338
1821,Good Samaritan Hospital,GOOD SAMARITAN HOSPITAL,37.25123,-121.947782,D6,True,37,26,454,36,18,263,19,14,32,11.43,19.74,9.0,9.25,4.5,6.5,3617,5853
1066,Santa Cruz & Los Gatos-Saratoga,SANTA CRUZ + LOS GATOS-SARATOGA,37.230435,-121.980139,D1,True,17,9,103,47,32,203,19,13,32,8.83,4.48,11.75,4.25,8.0,2.25,3279,1480
2696,Main & Jackson,MAIN + JACKSON,37.220976,-121.974169,D7,True,0,0,76,0,0,146,0,0,30,6.35,3.3,0.0,0.0,0.0,0.0,1619,842
1074,Los Gatos & Leroy,LOS GATOS + BLOSSOM HILL,37.236889,-121.962267,D7,True,11,10,151,9,11,144,19,13,30,6.26,6.57,2.25,2.75,2.75,2.5,1856,1948
1181,Los Gatos & Blossom Hill,LOS GATOS + BLOSSOM HILL,37.236862,-121.962681,D7,True,12,13,135,12,12,133,19,13,32,5.78,5.87,3.0,3.0,3.0,3.25,1786,1822
2788,Main & Pleasant,MAIN + PLEASANT,37.221126,-121.974711,D7,True,0,0,86,0,0,133,0,0,32,5.78,3.74,0.0,0.0,0.0,0.0,1474,954
2695,Main & Los Gatos Civic Center,LOS GATOS CIVIC CENTER,37.221205,-121.979109,D7,True,0,0,248,0,0,132,0,0,30,5.74,10.78,0.0,0.0,0.0,0.0,1464,2749
2783,Winchester & Vineland,WINCHESTER + VINELAND,37.243587,-121.975538,D4,True,2,0,19,2,4,132,19,13,30,5.74,0.83,0.5,0.5,1.0,0.0,1542,238
