shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_OPT_01,37.240436,-121.976643,0,0.0
shape_OPT_01,37.243344,-121.930625,1,4086.4
shape_OPT_01,37.243542,-121.926544,2,4448.3
shape_OPT_01,37.244221,-121.931141,3,4862.2
shape_OPT_01,37.239750,-121.977014,4,8953.2
shape_OPT_02,37.240436,-121.976643,0,0.0
shape_OPT_02,37.239651,-121.922812,1,4766.1
shape_OPT_02,37.236714,-121.922715,2,5092.8
shape_OPT_02,37.237805,-121.898625,3,7228.8
shape_OPT_02,37.239294,-121.895254,4,7570.1
shape_OPT_02,37.240475,-121.892713,5,7830.6
shape_OPT_02,37.243466,-121.889251,6,8282.8
shape_OPT_02,37.243218,-121.889862,7,8343.5
shape_OPT_03,37.240436,-121.976643,0,0.0
shape_OPT_03,37.236110,-121.920733,1,4972.8
shape_OPT_03,37.236141,-121.916592,2,5339.4
shape_OPT_03,37.240607,-121.892925,3,7492.5
shape_OPT_03,37.239132,-121.896140,4,7821.0
shape_OPT_03,37.237942,-121.898746,5,8087.0
shape_OPT_03,37.249317,-121.894675,6,9402.1
shape_OPT_03,37.249154,-121.894788,7,9422.8
shape_OPT_04,37.240436,-121.976643,0,0.0
shape_OPT_04,37.245909,-121.886549,1,7998.3
shape_OPT_04,37.248068,-121.882769,2,8410.1
shape_OPT_04,37.248246,-121.883055,3,8442.2
shape_OPT_04,37.245513,-121.887915,4,8968.9
shape_OPT_04,37.243639,-121.889382,5,9214.4
shape_OPT_04,37.235259,-121.886826,6,10173.3
shape_OPT_04,37.235076,-121.886954,7,10196.6
shape_OPT_05,37.240436,-121.976643,0,0.0
shape_OPT_05,37.243482,-121.890032,1,7674.4
shape_OPT_05,37.238789,-121.886746,2,8271.8
shape_OPT_05,37.238615,-121.886920,3,8296.5
shape_OPT_06,37.240436,-121.976643,0,0.0
shape_OPT_06,37.236318,-121.917160,1,5285.6
shape_OPT_06,37.236285,-121.921069,2,5631.7
shape_OPT_06,37.236438,-121.922506,3,5760.0
shape_OPT_06,37.250590,-121.935196,4,7693.5
shape_OPT_06,37.250707,-121.935647,5,7735.4
shape_OPT_06,37.260043,-121.901019,6,10971.2
shape_OPT_06,37.263512,-121.902447,7,11377.1
shape_OPT_06,37.262347,-121.902179,8,11508.8
shape_OPT_06,37.259857,-121.901156,9,11800.1
shape_OPT_07,37.240436,-121.976643,0,0.0
shape_OPT_07,37.250184,-121.931439,1,4145.5
shape_OPT_07,37.248009,-121.931383,2,4387.4
shape_OPT_07,37.250730,-121.932244,3,4699.4
shape_OPT_07,37.258773,-121.931240,4,5598.2
shape_OPT_07,37.258631,-121.931437,5,5621.7
shape_OPT_07,37.254947,-121.931404,6,6031.4
shape_OPT_07,37.256514,-121.899072,7,8898.2
shape_OPT_07,37.256117,-121.899024,8,8942.5
shape_OPT_08,37.240436,-121.976643,0,0.0
shape_OPT_08,37.249553,-121.909844,1,5999.1
shape_OPT_08,37.254304,-121.897346,2,7225.0
shape_OPT_08,37.253513,-121.896974,3,7318.9
shape_76_RESTORED,37.224900,-121.980600,0,0.0
shape_76_RESTORED,37.210000,-122.010000,1,3085.9
shape_76_RESTORED,37.185000,-122.035000,2,6639.9
shape_76_RESTORED,37.165000,-122.055000,3,9483.4
shape_76_RESTORED,37.150000,-122.070000,4,11616.2
