trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
OPT_01_T003,06:00:00,06:00:30,2699,0,0,0,1
OPT_01_T003,06:06:26,06:06:56,1084,1,0,0,1
OPT_01_T003,06:07:25,06:07:55,1170,2,0,0,1
OPT_01_T003,06:08:37,06:09:07,1814,3,0,0,1
OPT_01_T003,06:14:57,06:15:27,2784,4,0,0,1
OPT_01_T004,06:15:00,06:15:30,2699,0,0,0,1
OPT_01_T004,06:21:26,06:21:56,1084,1,0,0,1
OPT_01_T004,06:22:25,06:22:55,1170,2,0,0,1
OPT_01_T004,06:23:37,06:24:07,1814,3,0,0,1
OPT_01_T004,06:29:57,06:30:27,2784,4,0,0,1
OPT_01_T005,06:30:00,06:30:30,2699,0,0,0,1
OPT_01_T005,06:36:26,06:36:56,1084,1,0,0,1
OPT_01_T005,06:37:25,06:37:55,1170,2,0,0,1
OPT_01_T005,06:38:37,06:39:07,1814,3,0,0,1
OPT_01_T005,06:44:57,06:45:27,2784,4,0,0,1
OPT_01_T006,06:45:00,06:45:30,2699,0,0,0,1
OPT_01_T006,06:51:26,06:51:56,1084,1,0,0,1
OPT_01_T006,06:52:25,06:52:55,1170,2,0,0,1
OPT_01_T006,06:53:37,06:54:07,1814,3,0,0,1
OPT_01_T006,06:59:57,07:00:27,2784,4,0,0,1
OPT_01_T007,07:00:00,07:00:30,2699,0,0,0,1
OPT_01_T007,07:06:26,07:06:56,1084,1,0,0,1
OPT_01_T007,07:07:25,07:07:55,1170,2,0,0,1
OPT_01_T007,07:08:37,07:09:07,1814,3,0,0,1
OPT_01_T007,07:14:57,07:15:27,2784,4,0,0,1
OPT_01_T008,07:15:00,07:15:30,2699,0,0,0,1
OPT_01_T008,07:21:26,07:21:56,1084,1,0,0,1
OPT_01_T008,07:22:25,07:22:55,1170,2,0,0,1
OPT_01_T008,07:23:37,07:24:07,1814,3,0,0,1
OPT_01_T008,07:29:57,07:30:27,2784,4,0,0,1
OPT_01_T009,07:30:00,07:30:30,2699,0,0,0,1
OPT_01_T009,07:36:26,07:36:56,1084,1,0,0,1
OPT_01_T009,07:37:25,07:37:55,1170,2,0,0,1
OPT_01_T009,07:38:37,07:39:07,1814,3,0,0,1
OPT_01_T009,07:44:57,07:45:27,2784,4,0,0,1
OPT_01_T010,07:45:00,07:45:30,2699,0,0,0,1
OPT_01_T010,07:51:26,07:51:56,1084,1,0,0,1
OPT_01_T010,07:52:25,07:52:55,1170,2,0,0,1
OPT_01_T010,07:53:37,07:54:07,1814,3,0,0,1
OPT_01_T010,07:59:57,08:00:27,2784,4,0,0,1
OPT_01_T011,08:00:00,08:00:30,2699,0,0,0,1
OPT_01_T011,08:06:26,08:06:56,1084,1,0,0,1
OPT_01_T011,08:07:25,08:07:55,1170,2,0,0,1
OPT_01_T011,08:08:37,08:09:07,1814,3,0,0,1
OPT_01_T011,08:14:57,08:15:27,2784,4,0,0,1
OPT_01_T012,08:15:00,08:15:30,2699,0,0,0,1
OPT_01_T012,08:21:26,08:21:56,1084,1,0,0,1
OPT_01_T012,08:22:25,08:22:55,1170,2,0,0,1
OPT_01_T012,08:23:37,08:24:07,1814,3,0,0,1
OPT_01_T012,08:29:57,08:30:27,2784,4,0,0,1
OPT_01_T013,08:30:00,08:30:30,2699,0,0,0,1
OPT_01_T013,08:36:26,08:36:56,1084,1,0,0,1
OPT_01_T013,08:37:25,08:37:55,1170,2,0,0,1
OPT_01_T013,08:38:37,08:39:07,1814,3,0,0,1
