district_id,n_stops,stop_share,total_pop,pop_share,travel_time_savings,vehicle_operating_cost_savings,crash_reduction,emission_reduction,health_benefits_active_transport,reliability_benefits,option_value,induced_demand_accessibility,total_benefits
D1,11.0,0.1,3074.0,0.04,5283.04,75808.17,17573.51,5052.17,81541.57,27894.44,76850.0,53738.16,343741.04
D10,0.0,0.0,380.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,9500.0,0.0,9500.0
D2,0.0,0.0,2594.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,64850.0,0.0,64850.0
D3,8.0,0.07,4652.0,0.07,3842.21,55133.22,12780.73,3674.3,59302.96,20286.86,116300.0,39082.3,310402.58
D4,8.0,0.07,3192.0,0.05,3842.21,55133.22,12780.73,3674.3,59302.96,20286.86,79800.0,39082.3,273902.58
D5,2.0,0.02,3029.0,0.04,960.55,13783.3,3195.18,918.58,14825.74,5071.72,75725.0,9770.57,124250.64
D6,21.0,0.18,10254.0,0.15,10085.8,144724.7,33549.42,9645.05,155670.26,53253.01,256350.0,102591.03,765869.27
D7,16.0,0.14,3926.0,0.06,7684.42,110266.43,25561.47,7348.61,118605.91,40573.72,98150.0,78164.59,486355.15
D8,0.0,0.0,1350.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,33750.0,0.0,33750.0
D9,0.0,0.0,420.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,0.0,10500.0
U1,0.0,0.0,8174.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,204350.0,0.0,204350.0
U2,11.0,0.1,7295.0,0.1,5283.04,75808.17,17573.51,5052.17,81541.57,27894.44,182375.0,53738.16,449266.04
U3,9.0,0.08,8861.0,0.13,4322.48,62024.87,14378.32,4133.59,66715.83,22822.72,221525.0,43967.58,439890.4
U4,7.0,0.06,4995.0,0.07,3361.93,48241.57,11183.14,3215.02,51890.09,17751.0,124875.0,34197.01,294714.76
U5,15.0,0.13,4463.0,0.06,7204.14,103374.78,23963.87,6889.32,111193.04,38037.87,111575.0,73279.3,475517.33
U6,7.0,0.06,3100.0,0.04,3361.93,48241.57,11183.14,3215.02,51890.09,17751.0,77500.0,34197.01,247339.76
