district_id,allocated_operating_cost,allocated_fare_revenue,allocated_net_cost,n_routes,n_stops,total_capital,annual_amortized_capital,total_annual_cost
D1,244200.0,35200.0,209000.0,1,11,461522.0,23076.1,267276.1
D3,177600.0,25600.0,152000.0,1,8,335652.0,16782.6,194382.6
D4,177600.0,25600.0,152000.0,1,8,335652.0,16782.6,194382.6
D5,44400.0,6400.0,38000.0,1,2,83913.0,4195.65,48595.65
D6,421800.0,60800.0,361000.0,2,21,881087.0,44054.35,465854.35
D7,355200.0,51200.0,304000.0,1,16,671304.0,33565.2,388765.2
U2,177600.0,25600.0,152000.0,2,11,461522.0,23076.1,200676.1
U3,0.0,0.0,0.0,2,9,377609.0,18880.45,18880.45
U4,66600.0,9600.0,57000.0,2,7,293696.0,14684.8,81284.8
U5,199800.0,28800.0,171000.0,2,15,629348.0,31467.4,231267.4
U6,155400.0,22400.0,133000.0,1,7,293696.0,14684.8,170084.8
