origin_district,destination_district,distance_km,daily_demand,am_peak,midday,pm_school,pm_commute,evening
D1,D2,1.483,0.48,0.77,0.34,0.68,0.72,0.24
D1,D3,3.61,0.79,1.27,0.56,1.11,1.19,0.4
D1,D4,2.786,0.89,1.43,0.62,1.25,1.34,0.45
D1,D5,2.153,1.46,2.34,1.02,2.05,2.19,0.73
D1,D6,3.487,2.71,4.33,1.9,3.79,4.06,1.35
D1,D7,1.45,0.93,1.48,0.65,1.3,1.39,0.46
D1,D8,1.835,0.25,0.4,0.18,0.35,0.38,0.13
D1,D9,8.192,0.01,0.01,0.01,0.01,0.01,0.0
D1,D10,17.346,0.0,0.0,0.0,0.0,0.0,0.0
D1,U1,3.678,1.52,2.44,1.07,2.13,2.28,0.76
D1,U2,5.267,1.08,1.73,0.76,1.52,1.62,0.54
D1,U3,7.556,0.66,1.06,0.46,0.93,0.99,0.33
D1,U4,8.095,0.37,0.6,0.26,0.52,0.56,0.19
D1,U5,8.448,0.32,0.51,0.22,0.45,0.48,0.16
D1,U6,6.186,0.31,0.5,0.22,0.44,0.47,0.16
D2,D1,1.483,0.48,0.77,0.34,0.68,0.72,0.24
D2,D3,2.433,0.47,0.76,0.33,0.66,0.71,0.24
D2,D4,1.754,0.51,0.81,0.36,0.71,0.76,0.25
D2,D5,1.53,0.74,1.18,0.52,1.03,1.11,0.37
D2,D6,3.128,1.26,2.02,0.88,1.77,1.89,0.63
D2,D7,2.24,0.31,0.49,0.21,0.43,0.46,0.15
D2,D8,2.721,0.08,0.13,0.06,0.11,0.12,0.04
D2,D9,9.455,0.0,0.0,0.0,0.0,0.0,0.0
D2,D10,18.647,0.0,0.0,0.0,0.0,0.0,0.0
D2,U1,3.539,0.66,1.06,0.47,0.93,1.0,0.33
D2,U2,4.906,0.5,0.81,0.35,0.71,0.76,0.25
D2,U3,7.079,0.32,0.51,0.22,0.45,0.48,0.16
D2,U4,7.865,0.17,0.27,0.12,0.23,0.25,0.08
D2,U5,8.394,0.14,0.22,0.1,0.19,0.2,0.07
D2,U6,6.353,0.12,0.2,0.09,0.17,0.19,0.06
D3,D1,3.61,0.79,1.27,0.56,1.11,1.19,0.4
D3,D2,2.433,0.47,0.76,0.33,0.66,0.71,0.24
D3,D4,0.854,2.07,3.32,1.45,2.9,3.11,1.04
D3,D5,1.643,2.22,3.55,1.55,3.11,3.33,1.11
D3,D6,2.088,5.37,8.59,3.76,7.52,8.06,2.69
D3,D7,3.399,0.67,1.08,0.47,0.94,1.01,0.34
D3,D8,5.143,0.12,0.19,0.09,0.17,0.18,0.06
D3,D9,11.793,0.0,0.01,0.0,0.0,0.01,0.0
D3,D10,20.956,0.0,0.0,0.0,0.0,0.0,0.0
D3,U1,2.691,2.67,4.27,1.87,3.74,4.01,1.34
D3,U2,3.309,2.54,4.06,1.78,3.56,3.81,1.27
D3,U3,5.11,1.8,2.88,1.26,2.52,2.7,0.9
D3,U4,6.176,0.87,1.39,0.61,1.21,1.3,0.43
D3,U5,6.923,0.66,1.05,0.46,0.92,0.99,0.33
D3,U6,5.388,0.52,0.83,0.36,0.72,0.77,0.26
D4,D1,2.786,0.89,1.43,0.62,1.25,1.34,0.45
D4,D2,1.754,0.51,0.81,0.36,0.71,0.76,0.25
D4,D3,0.854,2.07,3.32,1.45,2.9,3.11,1.04
D4,D5,0.805,2.5,4.0,1.75,3.5,3.75,1.25
D4,D6,1.767,5.18,8.29,3.63,7.26,7.78,2.59
D4,D7,2.564,0.76,1.21,0.53,1.06,1.14,0.38
D4,D8,4.397,0.13,0.21,0.09,0.19,0.2,0.07
D4,D9,10.977,0.0,0.01,0.0,0.01,0.01,0.0
D4,D10,20.127,0.0,0.0,0.0,0.0,0.0,0.0
D4,U1,2.331,2.61,4.17,1.82,3.65,3.91,1.3
D4,U2,3.357,2.19,3.51,1.54,3.07,3.29,1.1
D4,U3,5.407,1.44,2.31,1.01,2.02,2.16,0.72
D4,U4,6.316,0.73,1.16,0.51,1.02,1.09,0.36
D4,U5,6.958,0.57,0.91,0.4,0.8,0.86,0.29
D4,U6,5.176,0.48,0.77,0.34,0.67,0.72,0.24
D5,D1,2.153,1.46,2.34,1.02,2.05,2.19,0.73
D5,D2,1.53,0.74,1.18,0.52,1.03,1.11,0.37
D5,D3,1.643,2.22,3.55,1.55,3.11,3.33,1.11
D5,D4,0.805,2.5,4.0,1.75,3.5,3.75,1.25
D5,D6,1.598,7.4,11.83,5.18,10.35,11.09,3.7
D5,D7,1.76,1.31,2.09,0.91,1.83,1.96,0.65
D5,D8,3.895,0.21,0.34,0.15,0.29,0.32,0.11
D5,D9,10.313,0.01,0.01,0.0,0.01,0.01,0.0
D5,D10,19.43,0.0,0.0,0.0,0.0,0.0,0.0
D5,U1,2.033,3.87,6.19,2.71,5.41,5.8,1.93
D5,U2,3.383,2.95,4.72,2.07,4.13,4.43,1.48
D5,U3,5.591,1.85,2.96,1.3,2.59,2.78,0.93
D5,U4,6.336,0.98,1.57,0.69,1.37,1.47,0.49
D5,U5,6.869,0.8,1.27,0.56,1.11,1.19,0.4
D5,U6,4.886,0.71,1.14,0.5,1.0,1.07,0.36
D6,D1,3.487,2.71,4.33,1.9,3.79,4.06,1.35
D6,D2,3.128,1.26,2.02,0.88,1.77,1.89,0.63
D6,D3,2.088,5.37,8.59,3.76,7.52,8.06,2.69
D6,D4,1.767,5.18,8.29,3.63,7.26,7.78,2.59
D6,D5,1.598,7.4,11.83,5.18,10.35,11.09,3.7
D6,D7,2.463,2.93,4.68,2.05,4.1,4.39,1.46
D6,D8,5.314,0.38,0.61,0.27,0.53,0.57,0.19
D6,D9,11.356,0.01,0.02,0.01,0.02,0.02,0.01
D6,D10,20.333,0.0,0.0,0.0,0.0,0.0,0.0
D6,U1,0.603,16.41,26.26,11.49,22.98,24.62,8.21
D6,U2,1.807,13.09,20.95,9.17,18.33,19.64,6.55
D6,U3,4.073,8.07,12.92,5.65,11.3,12.11,4.04
D6,U4,4.742,4.37,7.0,3.06,6.12,6.56,2.19
D6,U5,5.278,3.54,5.67,2.48,4.96,5.32,1.77
D6,U6,3.41,3.07,4.91,2.15,4.3,4.6,1.53
D7,D1,1.45,0.93,1.48,0.65,1.3,1.39,0.46
D7,D2,2.24,0.31,0.49,0.21,0.43,0.46,0.15
D7,D3,3.399,0.67,1.08,0.47,0.94,1.01,0.34
D7,D4,2.564,0.76,1.21,0.53,1.06,1.14,0.38
D7,D5,1.76,1.31,2.09,0.91,1.83,1.96,0.65
D7,D6,2.463,2.93,4.68,2.05,4.1,4.39,1.46
D7,D8,3.179,0.13,0.21,0.09,0.19,0.2,0.07
D7,D9,8.894,0.01,0.01,0.0,0.01,0.01,0.0
D7,D10,17.899,0.0,0.0,0.0,0.0,0.0,0.0
