stop_id,stop_name,stop_lat,stop_lon,in_los_gatos,status,current_daily_boardings,projected_daily_boardings,delta_daily,bcr_20yr,corridor_deviation_ft,match_distance_ft,matched_current_stop_id,matched_current_stop_name,notes
R27_OSM_1079474796,Winchester Boulevard,37.26950637991838,-121.95604319460656,False,KEPT,2.91,2.91,0.0,,0.0,91.6,2704.0,Winchester & Hacienda,Existing stop retained; current ridership held forward.
R27_OSM_65433241,McMurdie Drive; West Hacienda Avenue,37.26914517535965,-121.95788642497472,False,KEPT,2.04,2.04,0.0,,0.0,181.8,1836.0,Hacienda & Walnut,Existing stop retained; current ridership held forward.
R27_OSM_65599193,McMurdie Drive; Morrison Lane,37.26914290440518,-121.958074899314,False,KEPT,2.04,2.04,0.0,,0.0,128.4,1836.0,Hacienda & Walnut,Existing stop retained; current ridership held forward.
R27_OSM_5910933691,Capri Drive,37.26912689,-121.961396,False,KEPT,0.09,0.09,0.0,,0.0,90.3,2772.0,Hacienda & Capri,Existing stop retained; current ridership held forward.
R27_OSM_65433252,Via Ranchero; West Hacienda Avenue,37.269119182532464,-121.96607233261912,False,KEPT,0.52,0.52,0.0,,0.0,96.1,2773.0,Hacienda & Via Ranchero,Existing stop retained; current ridership held forward.
R27_OSM_4529528927,South San Tomas Aquino Road,37.269104,-121.9721673,False,KEPT,5.87,5.87,0.0,,0.0,113.3,1833.0,Burrows & Hacienda,Existing stop retained; current ridership held forward.
R27_OSM_65548364,Audrey Avenue; Burrows Road,37.265913556,-121.973011468,False,NEW,0.0,0.0,0.0,,0.0,280.4,,,New stop; nearest current is 280 ft away (>250 ft tolerance).
R27_OSM_65606356,Bracebridge Court; Pollard Road,37.26489829292198,-121.97298240571592,False,KEPT,1.3,1.3,0.0,,0.0,97.3,1832.0,Pollard & Bracebridge,Existing stop retained; current ridership held forward.
R27_OSM_13485295663,Pollard Road,37.26258842856836,-121.97067993917676,False,KEPT,0.83,0.83,0.0,,0.0,30.3,2776.0,Pollard & Teakwood,Existing stop retained; current ridership held forward.
R27_OSM_65526482,Dardanelli Lane; Knowles Drive,37.26157328936026,-121.9675132354191,True,KEPT,2.52,2.52,0.0,,0.0,107.8,2777.0,Knowles & Dardanelli,Existing stop retained; current ridership held forward.
1830,Knowles & Dardanelli,37.261586606208525,-121.96631959723904,True,KEPT,5.17,5.17,0.0,,0.0,46.4,1830.0,Knowles & Dardanelli,Existing stop retained; current ridership held forward.
R27_OSM_65526483,Capri Drive; Knowles Drive,37.26164580375248,-121.96326849514789,True,KEPT,2.22,2.22,0.0,,0.0,73.6,2778.0,Knowles & Capri,Existing stop retained; current ridership held forward.
R27_OSM_1079589775,Winchester Boulevard,37.25727059088235,-121.9651101514706,False,NEW,0.0,0.0,0.0,,0.0,285.4,,,New stop; nearest current is 285 ft away (>250 ft tolerance).
1740,Winchester & Albright,37.25540585399646,-121.9662915512017,True,KEPT,0.78,0.78,0.0,,0.0,15.5,1740.0,Winchester & Albright,Existing stop retained; current ridership held forward.
R27_OSM_1103393620,Wimbledon Drive; Winchester Boulevard,37.25443233956203,-121.96684172682852,True,KEPT,3.83,3.83,0.0,,0.0,150.9,1826.0,Winchester & Lark,Existing stop retained; current ridership held forward.
R27_OSM_65545843,La Rinconada Drive; Winchester Boulevard,37.250830122727095,-121.96917182062458,True,KEPT,0.43,0.43,0.0,,0.0,76.4,2780.0,Winchester & La Rinconada,Existing stop retained; current ridership held forward.
R27_OSM_11048950407,Wild Way; Winchester Boulevard,37.24938431959984,-121.97050700521244,True,KEPT,0.09,0.09,0.0,,0.0,84.3,2781.0,Winchester & Eaton,Existing stop retained; current ridership held forward.
R27_OSM_315406407,Sereno Court; Winchester Boulevard,37.2472573438021,-121.97214823893354,False,NEW,0.0,0.0,0.0,,0.0,268.3,,,New stop; nearest current is 268 ft away (>250 ft tolerance).
R27_OSM_65545853,Buena Vista Avenue; Winchester Boulevard,37.24715520875269,-121.97225396891024,True,KEPT,2.09,2.09,0.0,,0.0,221.2,2782.0,Winchester & Valley Oak,Existing stop retained; current ridership held forward.
R27_OSM_315406826,Creekside Court; Winchester Boulevard,37.24423957951647,-121.97507042334362,True,KEPT,1.26,1.26,0.0,,0.0,180.5,2700.0,Winchester & Vineland,Existing stop retained; current ridership held forward.
R27_OSM_65545884,Daves Avenue; Winchester Boulevard,37.24011022050225,-121.97685506452883,True,KEPT,1.91,1.91,0.0,,0.0,133.3,2699.0,Winchester & Daves,Existing stop retained; current ridership held forward.
