stop_id,stop_name,stop_lat,stop_lon,s_coord_ft,s_coord_mi,district_id,zone_type,status,priority,is_existing,is_mandatory,is_school_stop,wheelchair_boarding,walk_buffer_ft,raw_walkshed_pop,marginal_walkshed_pop,equity_walkshed_pop,tdi,equity_priority,est_new_riders_daily,est_annual_boardings,annual_benefit_usd,capital_cost_usd,pv_benefits_usd,pv_total_costs_usd,net_pv_usd,bcr_20yr,fta_cei_per_user_hr,gap_before_ft,gap_after_ft,justification,data_sources
R27_OSM_1079474796,Winchester Boulevard,37.26950637991838,-121.95604319460655,4714.0,0.893,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2228,2228,837.69,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 1079474796 (degree=4)
R27_OSM_65433241,McMurdie Drive; West Hacienda Avenue,37.26914517535965,-121.95788642497472,5295.0,1.003,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2541,2541,955.24,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65433241 (degree=6)
R27_OSM_65599193,McMurdie Drive; Morrison Lane,37.26914290440518,-121.95807489931401,5350.0,1.013,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2574,2574,967.4,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65599193 (degree=6)
R27_OSM_5910933691,Capri Drive,37.26912689,-121.961396,6314.0,1.196,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,3111,3111,1169.58,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 5910933691 (degree=4)
R27_OSM_65433252,Via Ranchero; West Hacienda Avenue,37.269119182532464,-121.96607233261913,7680.0,1.454,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,3254,3254,1223.21,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65433252 (degree=6)
R27_OSM_4529528927,South San Tomas Aquino Road,37.269104,-121.9721673,9449.0,1.79,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2531,2531,951.24,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 4529528927 (degree=4)
R27_OSM_65548364,Audrey Avenue; Burrows Road,37.265913556,-121.973011468,10660.0,2.019,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65548364 (degree=6)
R27_OSM_65606356,Bracebridge Court; Pollard Road,37.26489829292198,-121.97298240571592,11153.0,2.112,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65606356 (degree=6)
R27_OSM_13485295663,Pollard Road,37.26258842856836,-121.97067993917676,12229.0,2.316,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2339,2339,1123.08,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 13485295663 (degree=4)
R27_OSM_65526482,Dardanelli Lane; Knowles Drive,37.261573289360264,-121.9675132354191,13314.0,2.522,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2989,2989,1434.91,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65526482 (degree=8)
1830,Knowles & Dardanelli,37.261714,-121.966321,13660.0,2.587,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
R27_OSM_65526483,Capri Drive; Knowles Drive,37.26164580375248,-121.96326849514789,14547.0,2.755,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,3076,3076,1476.86,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65526483 (degree=8)
R27_OSM_1079589775,Winchester Boulevard,37.25727059088235,-121.9651101514706,16690.0,3.161,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2946,2946,1414.45,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 1079589775 (degree=3)
1740,Winchester & Albright,37.255433,-121.966333,17452.0,3.305,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
R27_OSM_1103393620,Wimbledon Drive; Winchester Boulevard,37.25443233956203,-121.96684172682853,17842.0,3.379,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2202,2202,1057.15,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 1103393620 (degree=4)
R27_OSM_65545843,La Rinconada Drive; Winchester Boulevard,37.250830122727095,-121.96917182062458,19330.0,3.661,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65545843 (degree=6)
R27_OSM_11048950407,Wild Way; Winchester Boulevard,37.249384319599834,-121.97050700521244,19985.0,3.785,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2105,2105,2167.12,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 11048950407 (degree=6)
R27_OSM_315406407,Sereno Court; Winchester Boulevard,37.247257343802104,-121.97214823893354,20901.0,3.958,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2601,2601,2677.45,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 315406407 (degree=6)
R27_OSM_65545853,Buena Vista Avenue; Winchester Boulevard,37.24715520875269,-121.97225396891025,20949.0,3.968,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2617,2617,2694.23,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65545853 (degree=6)
R27_OSM_315406826,Creekside Court; Winchester Boulevard,37.24423957951647,-121.97507042334362,22304.0,4.224,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2696,2696,2775.37,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 315406826 (degree=6)
R27_OSM_65545884,Daves Avenue; Winchester Boulevard,37.24011022050225,-121.97685506452883,23908.0,4.528,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2167,2167,2231.04,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65545884 (degree=6)
R27_OSM_4167678992,North Santa Cruz Avenue,37.236747649205924,-121.97720981730643,25139.0,4.761,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 4167678992 (degree=6)
R27_OSM_2906017086,North Santa Cruz Avenue,37.236162465596,-121.97744886545559,25364.0,4.804,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 2906017086 (degree=5)
R27_OSM_65468033,Ashler Avenue; North Santa Cruz Avenue,37.234081876964865,-121.97848332451944,26181.0,4.958,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65468033 (degree=6)
1066,Santa Cruz & Los Gatos-Saratoga,37.230435,-121.980139,27591.0,5.226,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
R27_OSM_2657050049,North Santa Cruz Avenue,37.22928619,-121.9808197,28058.0,5.314,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,1847,1847,805.66,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 2657050049 (degree=6)
R27_OSM_2657050044,Los Gatos-Saratoga Road,37.22903442,-121.98093414,28155.0,5.332,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,1880,1880,820.12,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 2657050044 (degree=3)
R27_FORCE_002,Downtown Los Gatos (N. Santa Cruz & Main),37.2249,-121.9806,28904.0,5.474,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2096,2096,914.54,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS existing stop; VTA Route 27 GTFS stop_times.txt
R27_OSM_65382445,Los Gatos-Saratoga Road,37.22593843037461,-121.97279519490807,30823.0,5.838,,suburban,NEW_IN_SELECTION,—,False,False,False,1,2640.0,2804,2804,1021.58,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65382445 (degree=3)
R27_OSM_65566980,Fillmer Avenue; Los Gatos Boulevard,37.226827260732826,-121.96830314426734,32501.0,6.155,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,1223,1223,332.15,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65566980 (degree=6)
