district_id,s_stop_density,s_route_count,s_cost_per_capita,s_stops_per_1000,sli,sli_rank,n_stops
D1,0.5953001099727963,0.5,0.8780498544131466,0.8780497722836696,0.6987,2,11
D2,0.0,0.0,0.0,0.0,0.0,14,0
D3,0.4441277757985987,0.5,0.4219690455717971,0.4219690455717971,0.4481,8,8
D4,0.8576998050682261,0.5,0.6149749373433584,0.6149749373433584,0.659,4,8
D5,0.2839787395596052,0.5,0.16201716738197425,0.16201716738197428,0.2831,11,2
D6,0.49700053155137064,1.0,0.4587961394136643,0.5025234055002927,0.6143,5,21
D7,0.3957043855472676,0.5,1.0,1.0,0.6937,3,16
D8,0.0,0.0,0.0,0.0,0.0,14,0
D9,0.0,0.0,0.0,0.0,0.0,14,0
D10,0.0,0.0,0.0,0.0,0.0,14,0
U1,0.0,0.0,0.0,0.0,0.0,14,0
U2,0.516977053959637,1.0,0.27780065717458063,0.3699965729952022,0.5485,6,11
U3,0.3482092979951586,1.0,0.02151753496599377,0.24922412820223455,0.4097,10,9
U4,0.42681535100590173,1.0,0.16433753245834162,0.3438688688688689,0.4879,7,7
U5,1.0,1.0,0.523299649498346,0.8246975128837105,0.8458,1,15
U6,0.22866226461237468,0.5,0.5540726620858105,0.5540725806451613,0.4429,9,7
