stop_id,stop_name,route_ids,district_id
PS_WVTC,West Valley College Transit Center,,
1044,Fruitvale & Allendale,"26,51",
1046,Saratoga & Rossmere,51,
1047,Saratoga & Herriman,51,
1048,Saratoga & Seagraves,51,
1049,Saratoga & Saratoga-Sunnyvale,51,
1061,Santa Cruz & Nicholson,27,D1
1062,Main & Santa Cruz,27,D1
1063,University & Mullen,27,D1
1064,University & Royce,27,D1
1065,Los Gatos-Saratoga & University,27,D1
1066,Santa Cruz & Los Gatos-Saratoga,27,D1
1068,Santa Cruz & Roberts,27,D1
1074,Los Gatos & Leroy,27,D7
1084,Los Gatos-Almaden & Union,27,U2
1085,Los Gatos-Almaden & Kentfield,27,
1086,Leigh & Los Gatos-Almaden,27,
1087,Leigh & Gregg,27,U6
1088,Leigh & Kay,27,U6
1089,Blossom Hill & Del Oro,27,U6
1090,Blossom Hill & Belwood,27,U6
1091,Blossom Hill & Harwood,27,
1092,Blossom Hill & Drysdale,27,
1093,Blossom Hill & Camden,27,
1094,Blossom Hill & Park Crest,27,U4
1095,Blossom Hill & Chambertin,27,U5
1096,Blossom Hill & Vassar,27,U5
1097,Blossom Hill & Meridian,27,U5
1100,Blossom Hill & Seifert,27,U5
1101,Blossom Hill & Ayrshire,27,U5
1154,Blossom Hill & Ayrshire,27,U5
1155,Blossom Hill & Kooser,27,U5
1156,Blossom Hill & Meridian,27,U5
1157,Meridian & Blossom Hill,64B,U5
1158,Meridian & Kooser,64B,U4
1159,Blossom Hill & Vassar,27,U5
1160,Blossom Hill & Dartmouth,27,U4
1161,Blossom Hill & Parkcrest,27,U4
1162,Blossom Hill & Camden,27,
1163,Blossom Hill & Drysdale,27,
1164,Blossom Hill & Harwood,27,
1165,Blossom Hill & Mary Jo,27,U6
1166,Blossom Hill & Del Oro,27,U6
1167,Leigh & Blossom Hill,27,U6
1168,Leigh & Anne,27,
1169,Los Gatos-Almaden & Leigh,27,
1170,Los Gatos-Almaden & Sandy,27,U2
1179,Los Gatos & Los Gatos-Almaden,27,D6
1181,Los Gatos & Blossom Hill,27,D7
1185,Santa Cruz & Mariposa,27,D7
1186,Santa Cruz & Olive,27,D1
1188,Santa Cruz & Los Gatos-Saratoga,27,D1
1200,Saratoga & Saratoga-Los Gatos,51,
1202,Saratoga & Juniper,51,
1203,Saratoga & Herriman,51,
1204,Saratoga & Rossmere,51,
1207,Fruitvale & Allendale,"26,51",
1686,Camden & Union,"101,37",
1688,Bascom & Camden,61,
1690,Union & Foxworthy,61,
1691,Union & Cambrianna,61,
1692,Camden & Union,"101,37",
1693,Camden & New Jersey,37,
1694,Hillsdale & Ross,37,
1695,Hillsdale & Kilo,37,
1696,Hillsdale & Kirk,37,
1697,Hillsdale & Meridian,37,
1698,Hillsdale & San Clemente,37,
1730,Hillsdale & San Clemente,37,
1731,Hillsdale & Meridian,37,
1732,Hillsdale & Kirk,37,
1733,Hillsdale & Manda,37,
1734,Hillsdale & Ross,37,
1735,Hillsdale & Camden,37,
1736,Camden & Leigh,37,
1737,Camden & New Jersey,37,
1738,Camden & Taper,37,
1740,Winchester & Albright,27,D3
1743,Los Gatos & Del Sol,27,D6
1744,Samaritan & National,"27,61",D6
1745,Good Samaritan Hospital,27,D6
1746,Samaritan & Samaritan,"27,61",D6
1747,Samaritan & Winton,"27,61",D6
1748,Samaritan & Cooper,"27,61",D6
1749,Samaritan & Esther,"27,61",U2
1750,Union & Samaritan,27,U2
1751,Union & Carlton,27,U2
1757,Camden & Highway 85,101,U3
1814,Union & Heather,27,U2
1816,Samaritan & Union,"27,61",U2
1817,Samaritan & Esther,"27,61",U2
1818,Samaritan & Cooper,"27,61",D6
1819,Samaritan & Clydelle,"27,61",D6
1820,Samaritan & Saidel,"27,61",D6
1821,Good Samaritan Hospital,"27,61",D6
1822,Samaritan & Medical Center,"27,61",D6
1823,Los Gatos & Burton,27,D6
1824,Los Gatos & Bennett,27,D6
1826,Winchester & Lark,27,D3
1827,Winchester & Albright,27,D3
1828,Knowles & Capri,27,D3
1830,Knowles & Dardanelli,27,D3
1831,Pollard & El Camino Hospital Los Gatos,27,
1832,Pollard & Bracebridge,27,
1833,Burrows & Hacienda,"27,37",
1834,Hacienda & Gay,"27,37",
1835,Hacienda & Capri,"27,37",
1836,Hacienda & Walnut,"27,37",
2236,Saratoga-Sunnyvale & Walnut,51,
2237,Saratoga-Sunnyvale & Gerald Zapelli,51,
2238,Saratoga-Sunnyvale & Herriman,51,
2309,Saratoga-Sunnyvale & Herriman,51,
2310,Saratoga-Sunnyvale & Reid,51,
2311,Saratoga-Sunnyvale & Marion,51,
2494,Allendale & Portos,"37,57",
2495,Allendale & Chester,"37,57",
