timestamp,school,grade,current_mode,currently_rides_bus,would_ride_bus,n_total_columns
2026-01-12 11:47:30.052,,6th,I walk,,,18
2026-01-12 11:47:41.197,,6th,I bike/skate/scooter,,,18
2026-01-12 11:50:00.348,,6th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-12 11:50:15.954,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-12 11:55:27.810,,6th,I carpool with another family,No,,18
2026-01-12 11:55:28.260,,6th,I bike/skate/scooter,,,18
2026-01-12 11:57:41.792,Near the school,6th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-12 11:58:40.591,Maybe a street next to the middle school.,6th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-12 11:59:57.290,,6th,A parent/guardian drives me,No,,18
2026-01-12 12:12:26.980,,6th,I walk,,,18
2026-01-12 12:16:14.585,,6th,I walk,,,18
2026-01-12 12:16:39.354,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-12 12:24:28.067,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-12 14:12:29.606,Street,6th,A parent/guardian drives me,No,Just knowing more about the bus. ,18
2026-01-12 15:04:44.635,,6th,A parent/guardian drives me,No,,18
2026-01-12 15:09:45.386,The area in front of the house currently under construction.,6th,A parent/guardian drives me,No,Busses made safer,18
2026-01-12 15:48:57.629,,6th,I walk,,,18
2026-01-12 16:45:29.237,I get dropped off and picked up so i dont need to take the bus,6th,A parent/guardian drives me,Yes,I don't really need to take the bus because i have a parent drive me from and to school.,18
2026-01-12 16:52:25.116,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-12 18:23:53.577,,6th,A parent/guardian drives me,No,,18
2026-01-12 18:26:11.227,,6th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-12 19:02:38.752,,6th,I bike/skate/scooter,,,18
2026-01-12 19:30:44.193,,6th,A parent/guardian drives me,No,,18
2026-01-12 20:39:23.549,,6th,A parent/guardian drives me,No,,18
2026-01-12 22:03:14.664,,6th,I walk,,,18
2026-01-13 08:30:32.652,,7th,I walk,,,18
2026-01-13 08:30:38.482,,7th,I walk,,,18
2026-01-13 08:31:34.751,,7th,I walk,,,18
2026-01-13 08:31:51.274,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:31:57.581,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:32:08.496,,7th,I walk,,,18
2026-01-13 08:32:18.804,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:32:22.546,,7th,I walk,,,18
2026-01-13 08:32:35.721,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:33:05.707,,7th,I carpool with another family,Yes,I have no interest in taking the bus,18
2026-01-13 08:33:07.821,,7th,I walk,,,18
2026-01-13 08:33:40.217,safeway,7th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 08:33:44.609,,7th,I walk,,,18
2026-01-13 08:33:46.990,no,7th,I carpool with another family,Yes,no,18
2026-01-13 08:33:52.631,,7th,I carpool with another family,Yes,I have no interest in taking the bus,18
2026-01-13 08:33:53.150,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:33:54.419,,7th,I walk,,,18
2026-01-13 08:33:58.690,,7th,I carpool with another family,No,,18
2026-01-13 08:33:59.958,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:34:00.124,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:34:01.412,,7th,I walk,,,18
2026-01-13 08:34:02.188,,7th,I bike/skate/scooter,,,18
2026-01-13 08:34:03.087,,7th,A parent/guardian drives me,No,,18
2026-01-13 08:34:03.785,,7th,I walk,,,18
2026-01-13 08:34:09.558,,7th,A parent/guardian drives me,No,,18
2026-01-13 08:34:17.642,,7th,A parent/guardian drives me,No,,18
2026-01-13 08:34:24.542,At the Plaza,7th,A parent/guardian drives me,Yes,Stops nearer my house,18
2026-01-13 08:34:36.153,Safeway,7th,A parent/guardian drives me,No,Subsidized/free bus passes provided,18
2026-01-13 08:34:46.216,,7th,I walk,,,18
2026-01-13 08:34:49.576,,7th,I bike/skate/scooter,,,18
2026-01-13 08:34:51.914,,7th,I walk,,,18
2026-01-13 08:34:56.937,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:34:57.233,,7th,I walk,,,18
2026-01-13 08:35:00.653,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:35:06.662,,7th,I bike/skate/scooter,,,18
2026-01-13 08:35:13.981,,7th,A parent/guardian drives me,No,,18
2026-01-13 08:35:16.081,I don't know the street name but I get picked up in a parking lot on the left side of the school which the parking lot is like behind safeway.,7th,A parent/guardian drives me,Yes,Arrives at school at a better time,18
2026-01-13 08:35:19.116,Merrill dr. (??),7th,A parent/guardian drives me,Yes,Busses made safer,18
2026-01-13 08:35:23.242,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 08:35:29.161,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:36:05.531,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 08:36:25.180,idk,7th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 08:36:32.572,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:36:34.277,,7th,A parent/guardian drives me,No,,18
2026-01-13 08:36:37.949,,7th,I walk,,,18
2026-01-13 08:36:38.914,,7th,A parent/guardian drives me,No,,18
2026-01-13 08:37:19.948,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 08:37:30.013,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
